sensitivity,n_cases,excluded_cases,TrueAUC65,HiddenAUC65,OverAUC65,DisplayAUC65,HDR65,ODR65,NetBias,normotensive_display_discordance_min,hypotensive_display_discordance_min,status,duplicate_numeric_group,explanation
coverage_ge_80pct,2435,0,262221.8333333333,156657.8111111111,168477.23611111112,274041.25833333336,0.5974247419434733,0.6424988871805531,0.0450741452370799,18039.10555555555,18784.783333333333,computed,1,retained_with_explicit_matched_grid_explanation
coverage_ge_90pct,1523,912,184530.41666666663,108420.60555555556,113949.65277777778,190059.4638888889,0.5875486952994049,0.6175114912552057,0.0299627959558007,12916.2,13327.127777777778,computed,2,independently computed sensitivity row
coverage_ge_95pct,504,1931,66846.41666666666,39277.177777777775,40255.188888888886,67824.42777777778,0.5875734218280628,0.6022041404197267,0.014630718591664,4966.677777777777,5052.333333333334,computed,3,independently computed sensitivity row
time_window_anaesthetic_interval,2435,0,262221.8333333333,156657.8111111111,168477.23611111112,274041.25833333336,0.5974247419434733,0.6424988871805531,0.0450741452370799,18039.10555555555,18784.783333333333,computed,1,retained_with_explicit_matched_grid_explanation
time_window_surgery_interval_coverage_matched,2425,10,261236.75,156072.28055555554,167883.81666666665,273048.2861111111,0.5974361591757498,0.6426500737995962,0.0452139146238464,17952.177777777775,18696.477777777774,computed,4,independently computed sensitivity row
map_range_20_180_primary,2435,0,262221.8333333333,156657.8111111111,168477.23611111112,274041.25833333336,0.5974247419434733,0.6424988871805531,0.0450741452370799,18039.10555555555,18784.783333333333,computed,1,retained_with_explicit_matched_grid_explanation
map_range_30_150_artifact_subset,2272,163,222723.3333333333,136471.42777777778,146319.36666666667,232571.27222222224,0.6127396969833027,0.656955714862984,0.0442160178796814,15408.116666666663,15990.266666666666,computed,5,retained_with_identical_exclusion_set_explanation
aggregation_10s_median_primary,2435,0,262221.8333333333,156657.8111111111,168477.23611111112,274041.25833333336,0.5974247419434733,0.6424988871805531,0.0450741452370799,18039.10555555555,18784.783333333333,computed,1,retained_with_explicit_matched_grid_explanation
aggregation_10s_mean_matched_primary_grid,2435,0,262221.8333333333,156657.8111111111,168477.23611111112,274041.25833333336,0.5974247419434733,0.6424988871805531,0.0450741452370799,18039.10555555555,18784.783333333333,computed,1,retained_with_explicit_matched_grid_explanation
artifact_exclusion_flatline_top5pct_removed,2272,163,222723.3333333333,136471.42777777778,146319.36666666667,232571.27222222224,0.6127396969833027,0.656955714862984,0.0442160178796814,15408.116666666663,15990.266666666666,computed,5,retained_with_identical_exclusion_set_explanation
